time,latitude,longitude,ugrd10m,time_run,vgrd10m,WS,WD
2026-03-03 12:00:00,12.0,-82.0,-6.74348,2026-02-23 12:00:00,-4.5662155,8.144,-145.9
2026-03-03 12:00:00,12.0,-81.5,-6.55348,2026-02-23 12:00:00,-4.5862155,7.9988,-145.02
2026-03-03 12:00:00,12.0,-81.0,-5.53348,2026-02-23 12:00:00,-5.7162156,7.9558,-134.07
2026-03-03 12:00:00,12.0,-80.5,-6.85348,2026-02-23 12:00:00,-5.9062157,9.0473,-139.25
2026-03-03 12:00:00,12.0,-80.0,-7.60348,2026-02-23 12:00:00,-6.2562156,9.8465,-140.55
2026-03-03 12:00:00,12.0,-79.5,-7.92348,2026-02-23 12:00:00,-6.0462155,9.9669,-142.65
2026-03-03 12:00:00,12.0,-79.0,-9.01348,2026-02-23 12:00:00,-5.7962155,10.7163,-147.26
2026-03-03 12:00:00,12.0,-78.5,-7.71348,2026-02-23 12:00:00,-6.416216,10.0332,-140.25
2026-03-03 12:00:00,12.0,-78.0,-8.22348,2026-02-23 12:00:00,-6.8962154,10.7324,-140.02
2026-03-03 12:00:00,12.0,-77.5,-9.24348,2026-02-23 12:00:00,-6.7762156,11.4612,-143.76
2026-03-03 12:00:00,12.0,-77.0,-10.01348,2026-02-23 12:00:00,-6.8862157,12.1528,-145.48
2026-03-03 12:00:00,12.0,-76.5,-10.99348,2026-02-23 12:00:00,-6.9062157,12.9828,-147.86
2026-03-03 12:00:00,12.0,-76.0,-11.82348,2026-02-23 12:00:00,-6.456216,13.4714,-151.36
2026-03-03 12:00:00,12.0,-75.5,-12.27348,2026-02-23 12:00:00,-5.726216,13.5436,-154.99
2026-03-03 12:00:00,12.0,-75.0,-13.023479,2026-02-23 12:00:00,-4.5462155,13.7942,-160.76
2026-03-03 12:00:00,12.0,-74.5,-13.30348,2026-02-23 12:00:00,-3.0262158,13.6433,-167.18
2026-03-03 12:00:00,12.0,-74.0,-12.33348,2026-02-23 12:00:00,-1.7762158,12.4607,-171.8
2026-03-03 12:00:00,12.0,-73.5,-11.21348,2026-02-23 12:00:00,-0.8662158,11.2469,-175.58
2026-03-03 12:00:00,12.0,-73.0,-9.92348,2026-02-23 12:00:00,-1.1062158,9.9849,-173.64
2026-03-03 12:00:00,12.0,-72.5,-8.13348,2026-02-23 12:00:00,-1.5362158,8.2773,-169.3
2026-03-03 12:00:00,12.0,-72.0,-6.80348,2026-02-23 12:00:00,-1.6562158,7.0022,-166.32
2026-03-03 12:00:00,12.0,-71.5,-7.84348,2026-02-23 12:00:00,-1.1862158,7.9327,-171.4
2026-03-03 12:00:00,12.0,-71.0,-8.75348,2026-02-23 12:00:00,-1.3862158,8.8626,-171.0
2026-03-03 12:00:00,12.0,-70.5,-8.30348,2026-02-23 12:00:00,-0.8662158,8.3485,-174.04
2026-03-03 12:00:00,12.0,-70.0,-8.62348,2026-02-23 12:00:00,-0.43621582,8.6345,-177.1
2026-03-03 12:00:00,12.0,-69.5,-9.77348,2026-02-23 12:00:00,-0.8462158,9.81,-175.05
2026-03-03 12:00:00,12.0,-69.0,-9.31348,2026-02-23 12:00:00,-1.4662157,9.4282,-171.05
2026-03-03 12:00:00,12.0,-68.5,-9.31348,2026-02-23 12:00:00,-1.5962158,9.4493,-170.27
2026-03-03 12:00:00,12.0,-68.0,-9.55348,2026-02-23 12:00:00,-1.5362158,9.6762,-170.86
2026-03-03 12:00:00,12.0,-67.5,-9.59348,2026-02-23 12:00:00,-1.5562158,9.7189,-170.79
2026-03-03 12:00:00,12.0,-67.0,-9.53348,2026-02-23 12:00:00,-1.8462157,9.7106,-169.04
2026-03-03 12:00:00,12.0,-66.5,-9.44348,2026-02-23 12:00:00,-0.3262158,9.4491,-178.02
2026-03-03 12:00:00,12.0,-66.0,-9.37348,2026-02-23 12:00:00,-0.5562158,9.39,-176.6
2026-03-03 12:00:00,12.0,-65.5,-9.21348,2026-02-23 12:00:00,-0.8262158,9.2505,-174.88
2026-03-03 12:00:00,12.0,-65.0,-8.96348,2026-02-23 12:00:00,-0.23621581,8.9666,-178.49
2026-03-03 12:00:00,12.0,-64.5,-9.36348,2026-02-23 12:00:00,0.07378418,9.3638,179.55
2026-03-03 12:00:00,12.0,-64.0,-9.34348,2026-02-23 12:00:00,-0.60621583,9.3631,-176.29
2026-03-03 12:00:00,12.0,-63.5,-9.93348,2026-02-23 12:00:00,-0.9362158,9.9775,-174.62
2026-03-03 12:00:00,12.0,-63.0,-9.75348,2026-02-23 12:00:00,-0.6662158,9.7762,-176.09
2026-03-03 12:00:00,12.0,-62.5,-9.55348,2026-02-23 12:00:00,-0.09621582,9.554,-179.42
2026-03-03 12:00:00,12.0,-62.0,-9.26348,2026-02-23 12:00:00,0.07378418,9.2638,179.54
2026-03-03 12:00:00,12.0,-61.5,-10.32348,2026-02-23 12:00:00,-0.4162158,10.3319,-177.69
2026-03-03 12:00:00,12.0,-61.0,-9.75348,2026-02-23 12:00:00,-0.3462158,9.7596,-177.97
2026-03-03 12:00:00,12.0,-60.5,-9.58348,2026-02-23 12:00:00,-0.05621582,9.5836,-179.66
2026-03-03 12:00:00,12.0,-60.0,-9.33348,2026-02-23 12:00:00,-0.12621582,9.3343,-179.23
2026-03-03 12:00:00,12.0,-59.5,-10.21348,2026-02-23 12:00:00,-1.1562158,10.2787,-173.54
2026-03-03 12:00:00,12.0,-59.0,-9.16348,2026-02-23 12:00:00,-1.8562158,9.3496,-168.55
2026-03-03 12:00:00,12.0,-58.5,-9.78348,2026-02-23 12:00:00,-2.1162157,10.0097,-167.79
2026-03-03 12:00:00,12.0,-58.0,-9.34348,2026-02-23 12:00:00,-1.9562157,9.5461,-168.17
2026-03-03 12:00:00,12.0,-57.5,-8.51348,2026-02-23 12:00:00,-1.1062158,8.585,-172.6
2026-03-03 12:00:00,12.0,-57.0,-9.08348,2026-02-23 12:00:00,-2.1862159,9.3429,-166.47
2026-03-03 12:00:00,12.0,-56.5,-8.50348,2026-02-23 12:00:00,-1.5962158,8.652,-169.37
2026-03-03 12:00:00,12.0,-56.0,-8.27348,2026-02-23 12:00:00,-1.5362158,8.4149,-169.48
2026-03-03 12:00:00,12.0,-55.5,-7.87348,2026-02-23 12:00:00,-0.03621582,7.8736,-179.74
2026-03-03 12:00:00,12.0,-55.0,-8.41348,2026-02-23 12:00:00,0.26378417,8.4176,178.2
2026-03-03 12:00:00,12.0,-54.5,-8.37348,2026-02-23 12:00:00,-0.7762158,8.4094,-174.7
2026-03-03 12:00:00,12.0,-54.0,-9.16348,2026-02-23 12:00:00,-0.12621582,9.1643,-179.21
2026-03-03 12:00:00,12.0,-53.5,-8.86348,2026-02-23 12:00:00,-1.1462158,8.9373,-172.63
2026-03-03 12:00:00,12.0,-53.0,-9.24348,2026-02-23 12:00:00,-1.6362158,9.3872,-169.96
2026-03-03 12:00:00,12.0,-52.5,-9.20348,2026-02-23 12:00:00,-1.5962158,9.3409,-170.16
2026-03-03 12:00:00,12.0,-52.0,-7.77348,2026-02-23 12:00:00,-0.8362158,7.8183,-173.86
2026-03-03 12:00:00,12.0,-51.5,-9.10348,2026-02-23 12:00:00,-0.7862158,9.1374,-175.06
2026-03-03 12:00:00,12.0,-51.0,-9.94348,2026-02-23 12:00:00,-0.7762158,9.9737,-175.54
2026-03-03 12:00:00,12.0,-50.5,-9.73348,2026-02-23 12:00:00,-0.9062158,9.7756,-174.68
2026-03-03 12:00:00,12.0,-50.0,-9.16348,2026-02-23 12:00:00,-0.9662158,9.2143,-173.98
2026-03-03 12:00:00,12.0,-49.5,-9.35348,2026-02-23 12:00:00,-1.1762158,9.4271,-172.83
2026-03-03 12:00:00,12.0,-49.0,-9.18348,2026-02-23 12:00:00,0.36378416,9.1907,177.73
2026-03-03 12:00:00,12.0,-48.5,-9.61348,2026-02-23 12:00:00,0.053784177,9.6136,179.68
2026-03-03 12:00:00,12.0,-48.0,-9.80348,2026-02-23 12:00:00,0.6237842,9.8233,176.36
2026-03-03 12:00:00,12.0,-47.5,-9.87348,2026-02-23 12:00:00,-0.14621581,9.8746,-179.15
2026-03-03 12:00:00,12.0,-47.0,-9.76348,2026-02-23 12:00:00,0.26378417,9.767,178.45
2026-03-03 12:00:00,12.0,-46.5,-9.96348,2026-02-23 12:00:00,0.36378416,9.9701,177.91
2026-03-03 12:00:00,12.0,-46.0,-10.21348,2026-02-23 12:00:00,0.6837842,10.2363,176.17
